status,latitude,longitude,evse_id
AVAILABLE,44.9951553,9.0119629,IT*2ZG*ESCH04*1
AVAILABLE,44.9951553,9.0119629,IT*2ZG*ESCH04*2
AVAILABLE,45.6416368,10.0130516,IT*2ZG*ESDC002*1
AVAILABLE,45.6416368,10.0130516,IT*2ZG*ESDC002*2
AVAILABLE,45.6416368,10.0130516,IT*2ZG*ESDC002*3
AVAILABLE,45.6533895,9.7232307,IT*2ZG*ESDC003*1
AVAILABLE,45.6533895,9.7232307,IT*2ZG*ESDC003*2
AVAILABLE,45.6533895,9.7232307,IT*2ZG*ESDC003*3
AVAILABLE,45.6567936,9.7247048,IT*2ZG*ESDC004*1
AVAILABLE,45.6567936,9.7247048,IT*2ZG*ESDC004*2
AVAILABLE,45.6567936,9.7247048,IT*2ZG*ESDC004*3
AVAILABLE,45.6936453,11.7709713,IT*2ZG*ESDC005*1
